path,guid,width,height,spriteBorder,prefab_count,colors,prefabs
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/Common/Common_Frame.png,0240691a744b95549861699fd0c2e088,1000,1074,"{x: 224, y: 170, z: 196, w: 164}",15,"{""{r: 1, g: 1, b: 1, a: 1}"": 15}","Assets/BizzaWZ/Common/BizzaGame/LosePanel/LosePanel.prefab
Assets/BizzaWZ/Common/UI/SettingPanel/PausePanel.prefab
Assets/BizzaWZ/Final/FunctionTools/CommonPublic/UI/CommonConfirmTipsPanel.prefab
Assets/BizzaWZ/Final/MenuSystem/Common/Task/UIDailyTaskPage.prefab
Assets/BizzaWZ/Final/Real/UI/AddPropPanel/AddPropPanel.prefab
Assets/BizzaWZ/Final/Real/UI/DailyMissionPanel/DailyMissionPanel.prefab
Assets/BizzaWZ/Final/Real/UI/DailyWithdrawPanel/DailyWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/ExchangeRatePanel/ExchangeRatePanel.prefab
Assets/BizzaWZ/Final/Real/UI/FAQPanel/FAQPanel.prefab
Assets/BizzaWZ/Final/Real/UI/FakeWithdrawPanel/FakeWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/NewbieGiftPage/NewbieGiftPage.prefab
Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/RealWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/StarRatingPopup/StarRatingPopup.prefab
Assets/BizzaWZ/Final/Real/UI/WithdrawDanPanel/WithdrawDanPanel.prefab
Assets/BizzaWZ/Final/Real/UI/WithdrawHistory/WithdrawHistory.prefab"
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/Common/Btn_Normael.png,05b69e6fdd0075148a8428f2608ccfa2,336,139,"{x: 0, y: 0, z: 0, w: 0}",12,"{""{r: 1, g: 1, b: 1, a: 1}"": 14}","Assets/BizzaWZ/Common/BizzaGame/LosePanel/LosePanel.prefab
Assets/BizzaWZ/Final/Real/UI/AddPropPanel/AddPropPanel.prefab
Assets/BizzaWZ/Final/Real/UI/DailyMissionPanel/DailyMissionPanel.prefab
Assets/BizzaWZ/Final/Real/UI/ExchangeRatePanel/ExchangeRatePanel.prefab
Assets/BizzaWZ/Final/Real/UI/FakeWithdrawPanel/FakeWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/RealWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/StarRatingPopup/StarRatingPopup.prefab
Assets/BizzaWZ/Final/Real/UI/UIWithdrawalConfirmPanel/UIWithdrawalConfirmPanel.prefab
Assets/BizzaWZ/Final/Real/UI/UIWithdrawalPendingPanel/UIWithdrawalPendingPanel.prefab
Assets/BizzaWZ/Final/Real/UI/WithdrawDanPanel/WithdrawDanItem.prefab
Assets/BizzaWZ/Final/Real/UI/WithdrawDanPanel/WithdrawDanPanel.prefab
Assets/BizzaWZ/Final/Real/UI/WithdrawFillPanel/WithdrawFillPanel.prefab"
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/Common/Common_Title.png,9dded7b60f156344ea9fcf1c64945d7c,1011,237,"{x: 0, y: 0, z: 0, w: 0}",12,"{""{r: 1, g: 1, b: 1, a: 1}"": 5}","Assets/BizzaWZ/Common/BizzaGame/LosePanel/LosePanel.prefab
Assets/BizzaWZ/Common/UI/SettingPanel/PausePanel.prefab
Assets/BizzaWZ/Final/MenuSystem/Common/Task/UIDailyTaskPage.prefab
Assets/BizzaWZ/Final/Real/UI/AddPropPanel/AddPropPanel.prefab
Assets/BizzaWZ/Final/Real/UI/DailyMissionPanel/DailyMissionPanel.prefab
Assets/BizzaWZ/Final/Real/UI/DailyWithdrawPanel/DailyWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/ExchangeRatePanel/ExchangeRatePanel.prefab
Assets/BizzaWZ/Final/Real/UI/FAQPanel/FAQPanel.prefab
Assets/BizzaWZ/Final/Real/UI/GetRewardPanel/GetRewardPanel.prefab
Assets/BizzaWZ/Final/Real/UI/NewbieGiftPage/NewbieGiftPage.prefab
Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/RealWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/WithdrawHistory/WithdrawHistory.prefab"
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/Common/bg_InPanel.png,8428b216e4535e641a006c4f98bd0792,785,333,"{x: 392.5, y: 166.5, z: 392.5, w: 166.5}",9,"{""{r: 1, g: 1, b: 1, a: 1}"": 9, ""{r: 1, g: 1, b: 1, a: 0.98039216}"": 1}","Assets/BizzaWZ/Common/UI/SettingPanel/PausePanel.prefab
Assets/BizzaWZ/Final/Framework/Runtime/Module/Teach/UITeach/UITeachTipsPage.prefab
Assets/BizzaWZ/Final/Real/UI/AddPropPanel/AddPropPanel.prefab
Assets/BizzaWZ/Final/Real/UI/DailyMissionPanel/DailyMissionPanel.prefab
Assets/BizzaWZ/Final/Real/UI/ExchangeRatePanel/ExchangeRatePanel.prefab
Assets/BizzaWZ/Final/Real/UI/FakeWithdrawPanel/FakeWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/RealWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/StarRatingPopup/StarRatingPopup.prefab
Assets/BizzaWZ/Final/Real/UI/WithdrawDanPanel/WithdrawDanPanel.prefab"
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/Common/Btn_Close.png,98e1d0aa4c8f2f146a6d40edbf6d0fbe,60,60,"{x: 0, y: 0, z: 0, w: 0}",8,"{""{r: 1, g: 1, b: 1, a: 1}"": 8}","Assets/BizzaWZ/Common/UI/SettingPanel/PausePanel.prefab
Assets/BizzaWZ/Final/MenuSystem/Common/Task/UIDailyTaskPage.prefab
Assets/BizzaWZ/Final/Real/UI/AddPropPanel/AddPropPanel.prefab
Assets/BizzaWZ/Final/Real/UI/DailyMissionPanel/DailyMissionPanel.prefab
Assets/BizzaWZ/Final/Real/UI/DailyWithdrawPanel/DailyWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/ExchangeRatePanel/ExchangeRatePanel.prefab
Assets/BizzaWZ/Final/Real/UI/FAQPanel/FAQPanel.prefab
Assets/BizzaWZ/Final/Real/UI/WithdrawHistory/WithdrawHistory.prefab"
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/Common/Btn_CanWithdraw.png,a73c19b904db65e4d903c3269883fda4,336,139,"{x: 0, y: 0, z: 0, w: 0}",6,"{""{r: 1, g: 1, b: 1, a: 1}"": 5}","Assets/BizzaWZ/Common/BizzaGame/LosePanel/LosePanel.prefab
Assets/BizzaWZ/Final/Real/UI/DailyMissionPanel/DailyMissionPanel.prefab
Assets/BizzaWZ/Final/Real/UI/DailyWithdrawPanel/DailyWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/NewbieGiftPage/NewbieGiftPage.prefab
Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/RealWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/WithdrawDanPanel/WithdrawDanItem.prefab"
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/Common/Icon_AD.png,ca0ef569827dbf5419e6308cdcbc1517,87,89,"{x: 0, y: 0, z: 0, w: 0}",5,"{""{r: 1, g: 1, b: 1, a: 1}"": 5}","Assets/BizzaWZ/Common/BizzaGame/LosePanel/LosePanel.prefab
Assets/BizzaWZ/Final/Real/UI/AddPropPanel/AddPropPanel.prefab
Assets/BizzaWZ/Final/Real/UI/DailyMissionPanel/DailyMissionPanel.prefab
Assets/BizzaWZ/Final/Real/UI/GetRewardPanel/GetRewardPanel.prefab
Assets/BizzaWZ/Final/Real/UI/SlotsPanel/BingoAsset/Assets/UiPrefab/SlotMachineGroup.prefab"
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/RealWithdrawPanel/Icon_Back.png,c67b1e0028bea574fa4b4a90c5e761f8,104,104,"{x: 0, y: 0, z: 0, w: 0}",5,"{""{r: 1, g: 1, b: 1, a: 1}"": 5}","Assets/BizzaWZ/Final/Real/UI/FakeWithdrawPanel/FakeWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/RealWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/ServicePanel/ServicePanel.prefab
Assets/BizzaWZ/Final/Real/UI/SlotsPanel/SlotPanel/SlotPanel.prefab
Assets/BizzaWZ/Final/Real/UI/WithdrawDanPanel/WithdrawDanPanel.prefab"
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/RealWithdrawPanel/Icon_ChannelSelected.png,ca905ac5b83284545a0cc835a6cc6efc,94,90,"{x: 0, y: 0, z: 0, w: 0}",5,"{""{r: 1, g: 1, b: 1, a: 1}"": 5}","Assets/BizzaWZ/Final/Real/UI/FakeWithdrawPanel/WithdrawAmountItem.prefab
Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/RealWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/WithdrawLevelItem.prefab
Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/WithdrawWay.prefab
Assets/BizzaWZ/Final/Real/UI/WithdrawFillPanel/WithdrawFillPanel.prefab"
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/RealWithdrawPanel/Icon_FAQ.png,28bc6b4dc88d8234e8d7ca737df27c9d,104,104,"{x: 0, y: 0, z: 0, w: 0}",5,"{""{r: 1, g: 1, b: 1, a: 1}"": 5}","Assets/BizzaWZ/Final/Real/UI/FakeWithdrawPanel/FakeWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/RealWithdrawPanel.prefab
Assets/BizzaWZ/Final/Real/UI/ServicePanel/ServicePanel.prefab
Assets/BizzaWZ/Final/Real/UI/SlotsPanel/SlotPanel/SlotPanel.prefab
Assets/BizzaWZ/Final/Real/UI/WithdrawDanPanel/WithdrawDanPanel.prefab"
